"Story","Title","Result","Date","Stability","Duration (s)"
"Login by user","A entering of incorrect credentials should not open application","SUCCESS","2014-08-14T13:01:16.717Z","0.0","17.81"
"Login by user","B entering of incorrect credentials should open application","SUCCESS","2014-08-14T13:01:34.536Z","0.0","4.4"
